stream,source_system,mimic_code,mimic_display,expected_code,expected_system,reason,comment
units,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,+/-,+/-,,http://unitsofmeasure.org,no-suitable-concept,"A qualitative result marker on HCG, Urine, Qualitative. Not a unit; the value it accompanies is not a measured quantity."
units,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,-,-,,http://unitsofmeasure.org,no-suitable-concept,"A placeholder for a missing unit, not a unit."
units,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,___,___,,http://unitsofmeasure.org,no-suitable-concept,"A placeholder for a missing unit, not a unit."
units,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,0,0,,http://unitsofmeasure.org,no-suitable-concept,"Records a quantity or an ETL accident rather than a unit of measure — it carries a digit, a backslash, a tilde or an asterisk, or is wrapped in parentheses. Declined by a stated rule applied uniformly to every source string no explicit answer above covers, rather than row by row. Where a whole dose was written into the unit column (`(1,000 mg)`, `mEq / 250 mL NS`) the fix is in the ETL that filled it, not here: a ConceptMap can supply a unit, never split a value out of one."
units,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,(0.06 %),(0.06 %),,http://unitsofmeasure.org,no-suitable-concept,"Records a quantity or an ETL accident rather than a unit of measure — it carries a digit, a backslash, a tilde or an asterisk, or is wrapped in parentheses. Declined by a stated rule applied uniformly to every source string no explicit answer above covers, rather than row by row. Where a whole dose was written into the unit column (`(1,000 mg)`, `mEq / 250 mL NS`) the fix is in the ETL that filled it, not here: a ConceptMap can supply a unit, never split a value out of one."
units,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,(0.6 mg/mL),(0.6 mg/mL),,http://unitsofmeasure.org,no-suitable-concept,"Records a quantity or an ETL accident rather than a unit of measure — it carries a digit, a backslash, a tilde or an asterisk, or is wrapped in parentheses. Declined by a stated rule applied uniformly to every source string no explicit answer above covers, rather than row by row. Where a whole dose was written into the unit column (`(1,000 mg)`, `mEq / 250 mL NS`) the fix is in the ETL that filled it, not here: a ConceptMap can supply a unit, never split a value out of one."
units,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,0.8 mg,0.8 mg,,http://unitsofmeasure.org,no-suitable-concept,"Records a quantity or an ETL accident rather than a unit of measure — it carries a digit, a backslash, a tilde or an asterisk, or is wrapped in parentheses. Declined by a stated rule applied uniformly to every source string no explicit answer above covers, rather than row by row. Where a whole dose was written into the unit column (`(1,000 mg)`, `mEq / 250 mL NS`) the fix is in the ETL that filled it, not here: a ConceptMap can supply a unit, never split a value out of one."
units,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,0/mg,0/mg,,http://unitsofmeasure.org,no-suitable-concept,"Records a quantity or an ETL accident rather than a unit of measure — it carries a digit, a backslash, a tilde or an asterisk, or is wrapped in parentheses. Declined by a stated rule applied uniformly to every source string no explicit answer above covers, rather than row by row. Where a whole dose was written into the unit column (`(1,000 mg)`, `mEq / 250 mL NS`) the fix is in the ETL that filled it, not here: a ConceptMap can supply a unit, never split a value out of one."
units,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,/0mg,/0mg,,http://unitsofmeasure.org,no-suitable-concept,"Records a quantity or an ETL accident rather than a unit of measure — it carries a digit, a backslash, a tilde or an asterisk, or is wrapped in parentheses. Declined by a stated rule applied uniformly to every source string no explicit answer above covers, rather than row by row. Where a whole dose was written into the unit column (`(1,000 mg)`, `mEq / 250 mL NS`) the fix is in the ETL that filled it, not here: a ConceptMap can supply a unit, never split a value out of one."
units,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-units,/ 0 Units,/ 0 Units,,http://unitsofmeasure.org,no-suitable-concept,"Records a quantity or an ETL accident rather than a unit of measure — it carries a digit, a backslash, a tilde or an asterisk, or is wrapped in parentheses. Declined by a stated rule applied uniformly to every source string no explicit answer above covers, rather than row by row. Where a whole dose was written into the unit column (`(1,000 mg)`, `mEq / 250 mL NS`) the fix is in the ETL that filled it, not here: a ConceptMap can supply a unit, never split a value out of one."
