mimic_code,mimic_display,snomed_code,snomed_display,comment,codesearch_target,codesearch_display,codesearch_confidence,codesearch_status,codesearch_reasoning
221214,CT scan,77477000,Computed tomography,,77477000,Computed tomography,0.85,ok,FSN matches CT scan; recording context is non-coded
221216,X-ray,168537006,Plain X-ray,,168537006,Plain X-ray,0.85,ok,FSN matches X-ray procedure; ICU recording context is non-coded.
221217,Ultrasound,16310003,Ultrasound,,16310003,Ultrasound,0.85,ok,FSN is ultrasonography procedure; no further specification stated
221219,Venogram,4970003,Venography,,4970003,Venography,0.85,ok,Venogram is synonymous with venography; unspecified procedure.
221223,EEG,54550000,EEG,,54550000,EEG,0.95,ok,FSN electroencephalogram matches EEG procedure
221255,Trans Esophageal Echo,105376000,Transoesophageal echocardiography,,105376000,Transoesophageal echocardiography,0.85,ok,FSN exactly matches Trans Esophageal Echo procedure
223253,Magnetic Resonance Imaging,113091000,Magnetic resonance imaging,,113091000,Magnetic resonance imaging,0.85,ok,FSN matches the recorded procedure without unstated specificity
224263,Multi Lumen,,,"code-search proposed 233527006 |Central venous cannula insertion| at 0.60, below the 0.8 threshold.",233527006,Central venous cannula insertion,0.60,below-threshold,Closest procedure match for multi-lumen line placement
224264,PICC Line,425196008,Peripherally inserted central catheterisation,,425196008,Peripherally inserted central catheterisation,0.85,ok,FSN matches PICC line placement without unstated technique
224267,Cordis/Introducer,,,"code-search proposed 429446009 |Catheterisation of blood vessel| at 0.78, below the 0.8 threshold.",429446009,Catheterisation of blood vessel,0.78,below-threshold,Broad vascular access procedure; no site or device specifics stated
224268,Trauma line,,,"code-search proposed 429446009 |Catheterisation of blood vessel| at 0.50, below the 0.8 threshold.",429446009,Catheterisation of blood vessel,0.50,below-threshold,Broad vascular line placement; trauma line is unspecified
224269,CCO PAC,65677008,Pulmonary catheterisation with Swan-Ganz catheter,,65677008,Pulmonary catheterisation with Swan-Ganz catheter,0.85,ok,CCO PAC denotes continuous cardiac output pulmonary artery catheter placement
224270,Dialysis Catheter,,,code-search returned no match within (<<71388002 OR <<404684003 OR <<272379006).,,,,no-match,
224272,IABP line,16965008,Insertion of intra-aortic balloon pump,,16965008,Insertion of intra-aortic balloon pump,0.85,ok,FSN matches IABP line placement without unstated technique
224273,Presep Catheter,449860009,Nontunnelled central venous catheterisation,,449860009,Nontunnelled central venous catheterisation,0.80,ok,PreSep is a nontunnelled central venous monitoring catheter
224274,22 Gauge,,,code-search returned no match within (<<71388002 OR <<404684003 OR <<272379006).,,,,no-match,
224275,20 Gauge,,,"code-search proposed 429446009 |Catheterisation of blood vessel| at 0.50, below the 0.8 threshold.",429446009,Catheterisation of blood vessel,0.50,below-threshold,Likely 20-gauge vascular access placement; generic vascular catheter avoids unstated site
224276,16 Gauge,,,code-search returned no match within (<<71388002 OR <<404684003 OR <<272379006).,,,,no-match,
224277,18 Gauge,,,code-search returned no match within (<<71388002 OR <<404684003 OR <<272379006).,,,,no-match,
224385,Intubation,52765003,Intubation,,52765003,Intubation,0.85,ok,FSN matches stated procedure without unstated airway specification
224560,PA Catheter,82936005,Introduction of catheter into pulmonary artery,,82936005,Introduction of catheter into pulmonary artery,0.85,ok,PA catheter placement/performance; no route or guidance specified
224566,14 Gauge,,,code-search returned no match within (<<71388002 OR <<404684003 OR <<272379006).,,,,no-match,
225199,Triple Introducer,,,"code-search proposed 429446009 |Catheterisation of blood vessel| at 0.72, below the 0.8 threshold.",429446009,Catheterisation of blood vessel,0.72,below-threshold,Broader procedure matching placement of a vascular introducer
225202,Indwelling Port (PortaCath),80402001,Implantation of venous access port,,80402001,Implantation of venous access port,0.85,ok,Matches placement of an indwelling Port-a-Cath
225203,Pheresis Catheter,,,code-search returned no match within (<<71388002 OR <<404684003 OR <<272379006).,,,,no-match,
225204,Midline,392230005,Catheterisation of vein,,392230005,Catheterisation of vein,0.80,ok,Midline placement is venous catheterisation; no specific midline concept found
225205,RIC,233520008,Peripheral venous cannula insertion,,233520008,Peripheral venous cannula insertion,0.80,ok,RIC is a peripheral rapid infusion venous cannula; FSN captures insertion.
225315,Tunneled (Hickman) Line,442309004,Insertion of tunnelled central venous catheter,,442309004,Insertion of tunnelled central venous catheter,0.85,ok,FSN matches tunneled Hickman line placement
225399,Lumbar Puncture,277762005,Lumbar puncture,,277762005,Lumbar puncture,0.85,ok,FSN matches the recorded procedure without unstated specification
225400,Bronchoscopy,10847001,Bronchoscopy,,10847001,Bronchoscopy,0.85,ok,FSN exactly matches the recorded procedure
225401,Blood Cultured,30088009,Blood culture,,30088009,Blood culture,0.85,ok,FSN matches the recorded procedure.
225402,EKG,29303009,ECG procedure,,29303009,ECG procedure,0.85,ok,FSN matches EKG performance without unstated ECG type
225406,Transferred to Floor,37729005,"Patient transfer, in-hospital",,37729005,"Patient transfer, in-hospital",0.85,ok,Transferred to floor implies in-hospital patient transfer
225427,Angiography,77343006,Angiography,,77343006,Angiography,0.85,ok,FSN matches the recorded procedure.
225428,Blakemore / Minnesota Tube D/C,,,"code-search proposed 1230036005 |Removal of tube| at 0.78, below the 0.8 threshold.",1230036005,Removal of tube,0.78,below-threshold,Blakemore/Minnesota tube discontinuation denotes tube removal; generic procedure avoids unstated tube route.
225429,Blakemore / MinnesotaTube Inserted,235419001,Intubation of gastrointestinal tract,,235419001,Intubation of gastrointestinal tract,0.85,ok,Broad procedure match for placement of Blakemore or Minnesota tube
225430,Cardiac Cath,41976001,Cardiac catheterisation,,41976001,Cardiac catheterisation,0.85,ok,FSN matches cardiac cath without unstated procedural specifics
