stream,source_system,mimic_code,mimic_display,expected_code,expected_system,reason,comment
medication-etc,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-etc,00004610,Calcium Channel Blockers - Benzothiazepines,,http://snomed.info/sct,no-suitable-concept,"code-search proposed 372793000 'Diltiazem' at 0.75, below the 0.8 threshold."
medication-etc,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-etc,00003339,Antiseptic - Quaternary Ammonium,,http://snomed.info/sct,no-suitable-concept,"code-search proposed 301712000 'Quaternary ammonium compound' at 0.70, below the 0.8 threshold."
medication-etc,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-etc,00000889,Otic (Ear) - Glucocorticoids,,http://snomed.info/sct,no-suitable-concept,code-search returned no match within SNOMED CT <<105590001.
medication-etc,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-etc,00004543,Urinary Anti-infective Methenamine-Analgesic Combinations Other,,http://snomed.info/sct,no-suitable-concept,"code-search proposed 372773008 'Methenamine' at 0.70, below the 0.8 threshold."
medication-etc,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-etc,00003805,Multiple Sclerosis Agent - Others,,http://snomed.info/sct,no-suitable-concept,code-search returned no match within SNOMED CT <<105590001.
medication-etc,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-etc,00006580,IBS Agent - Mixed Opioid Receptor Agonist and Antagonist,,http://snomed.info/sct,no-suitable-concept,"code-search proposed 373699000 'Morphinan opioid' at 0.60, below the 0.8 threshold."
medication-etc,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-etc,00006644,Analgesic Opioid Oxycodone and Salicylate Combinations,,http://snomed.info/sct,no-suitable-concept,"code-search proposed 55452001 'Oxycodone' at 0.70, below the 0.8 threshold."
medication-etc,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-etc,00000501,Vaginal Estrogens,,http://snomed.info/sct,no-suitable-concept,code-search proposed 713269007 'Conjugated estrogen-containing product in vaginal dose form' at 0.82 but that code is not a member of SNOMED CT <<105590001.
medication-etc,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-etc,00001157,Medical Supplies and DME - Insulin Needles-Syringes and Admin Supplies,,http://snomed.info/sct,no-suitable-concept,"code-search proposed 67866001 'Insulin' at 0.70, below the 0.8 threshold."
medication-etc,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-etc,00000793,Sickle Cell Anemia Agents,,http://snomed.info/sct,no-suitable-concept,"code-search proposed 387314007 'Hydroxycarbamide' at 0.75, below the 0.8 threshold."
medication-etc,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-etc,00000137,Contraceptive Oral - Progestin,,http://snomed.info/sct,no-suitable-concept,code-search returned no match within SNOMED CT <<105590001.
medication-etc,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-etc,00003192,Ophthalmic Antibiotic - Dehydropeptidase Inhibitors,,http://snomed.info/sct,no-suitable-concept,code-search returned no match within SNOMED CT <<105590001.
medication-etc,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-etc,00006728,Antiretroviral - Integrase Inhibitor and NNRTI Combinations,,http://snomed.info/sct,no-suitable-concept,code-search returned no match within SNOMED CT <<105590001.
medication-etc,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-etc,00006361,Nasal Antihistamine and Anti-inflammatory Steroid Combinations,,http://snomed.info/sct,no-suitable-concept,code-search returned no match within SNOMED CT <<105590001.
medication-etc,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-etc,00000456,Antiemetic - Anticholinergics,,http://snomed.info/sct,no-suitable-concept,"code-search proposed 372679000 'Muscarinic receptor antagonist' at 0.70, below the 0.8 threshold."
medication-etc,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-etc,00006139,"Renin Inhibitor, Direct and Diuretic Combinations",,http://snomed.info/sct,no-suitable-concept,"code-search proposed 426228001 'Renin inhibitor' at 0.70, below the 0.8 threshold."
medication-etc,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-etc,00000420,Antidiarrheal - Antiperistaltic Agents,,http://snomed.info/sct,no-suitable-concept,"code-search proposed 387040009 'Loperamide' at 0.55, below the 0.8 threshold."
medication-etc,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-etc,00006704,Ophthalmic - Glucocorticoid-NSAID Combinations,,http://snomed.info/sct,no-suitable-concept,"code-search proposed 419933005 'Glucocorticoid' at 0.70, below the 0.8 threshold."
medication-etc,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-etc,00000411,Laxative - Stimulant,,http://snomed.info/sct,no-suitable-concept,"code-search proposed 372800002 'Laxative' at 0.75, below the 0.8 threshold."
medication-etc,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-etc,00003354,Hair Growth Agents - Topical,,http://snomed.info/sct,no-suitable-concept,"code-search proposed 387272001 'Minoxidil' at 0.70, below the 0.8 threshold."
medication-etc,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-etc,00000963,Dermatological - Antineoplastic Antimetabolites,,http://snomed.info/sct,no-suitable-concept,"code-search proposed 372785000 'Antimetabolite' at 0.60, below the 0.8 threshold."
medication-etc,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-etc,00006488,DMARD - B Cell Targeted Agents,,http://snomed.info/sct,no-suitable-concept,code-search returned no match within SNOMED CT <<105590001.
medication-etc,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-etc,00006401,Salicylate Analgesic and Xanthine Combinations,,http://snomed.info/sct,no-suitable-concept,"code-search proposed 387458008 'Aspirin' at 0.70, below the 0.8 threshold."
medication-etc,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-etc,00003217,Ophthalmic - Decongestant-Artificial Tear Combinations,,http://snomed.info/sct,no-suitable-concept,"code-search proposed 417901007 'Decongestant' at 0.50, below the 0.8 threshold."
medication-etc,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-etc,00003209,Ophthalmic - Antibacterial-Glucocorticoid Combinations,,http://snomed.info/sct,no-suitable-concept,code-search returned no match within SNOMED CT <<105590001.
medication-etc,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-etc,00004531,Dermatological - Emollient Combinations Other,,http://snomed.info/sct,no-suitable-concept,code-search returned no match within SNOMED CT <<105590001.
medication-etc,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-etc,00006018,Dermatological - Antifungal Allylamines,,http://snomed.info/sct,no-suitable-concept,"code-search proposed 373450007 'Terbinafine' at 0.50, below the 0.8 threshold."
medication-etc,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-etc,00003284,Dermatological - Antifungal Amphoteric Polyene Macrolides,,http://snomed.info/sct,no-suitable-concept,"code-search proposed 372643008 'Amphotericin' at 0.50, below the 0.8 threshold."
medication-etc,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-etc,00002705,CMV Antiviral Agent - Nucleotide Analogs,,http://snomed.info/sct,no-suitable-concept,"code-search proposed 372701006 'Substance with antiviral mechanism of action' at 0.55, below the 0.8 threshold."
medication-etc,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-etc,00005904,"Medical Supply, FDB Superset",,http://snomed.info/sct,no-suitable-concept,code-search returned no match within SNOMED CT <<105590001.
medication-etc,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-etc,00002729,Non-Cardiac Selective Beta Blocker-Thiazide Diuretic and Related Comb.,,http://snomed.info/sct,no-suitable-concept,"code-search proposed 373254001 'Beta blocker' at 0.60, below the 0.8 threshold."
medication-etc,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-etc,00005773,Non-Opioid Antitus-1st Gen.Antihistamine-Decongestant-Analgesic-Expect,,http://snomed.info/sct,no-suitable-concept,"code-search proposed 373230006 'Cough AND/OR decongestant agent' at 0.50, below the 0.8 threshold."
medication-etc,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-etc,00006327,Mouth and Throat - Local Anesthetic and Antiseptic Lozenges,,http://snomed.info/sct,no-suitable-concept,code-search returned no match within SNOMED CT <<105590001.
medication-etc,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-etc,00003162,1st Generation Antihistamine-Decongestant Combinations,,http://snomed.info/sct,no-suitable-concept,"code-search proposed 373228009 'Substance with histamine H1 receptor antagonist mechanism of action' at 0.75, below the 0.8 threshold."
medication-etc,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-medication-etc,00001149,Medical Supplies and DME - Ostomy Supplies,,http://snomed.info/sct,no-suitable-concept,"code-search proposed 11462003 'Ostomy appliance adhesive' at 0.70, below the 0.8 threshold."
