mimic_code,mimic_display,target_system,target_code,target_display,comment,codesearch_query,codesearch_query_2,codesearch_target,codesearch_display,codesearch_confidence,codesearch_status,codesearch_reasoning,codesearch_loinc_status,codesearch_loinc_target,codesearch_loinc_display,codesearch_loinc_confidence,codesearch_snomed_status,codesearch_snomed_target,codesearch_snomed_display,codesearch_snomed_confidence,observed_shape,loinc_scale_typ,scale_note
220001,Problem List,http://loinc.org,11450-4,Problem list - Reported,,Problem List,,11450-4,Problem list - Reported,0.95,ok,FSN matches 'Problem list' exactly,ok,11450-4,Problem list - Reported,0.95,,,,,Nar,Nom,
220045,Heart Rate,http://loinc.org,8867-4,Heart rate,,Heart Rate,,8867-4,Heart rate,1.00,ok,,ok,8867-4,Heart rate,1.00,,,,,Qn,Qn,
220046,Heart rate Alarm - High,,,,"Not sent to code-search: every item is a `<X> Alarm - {High | Low}` device alarm limit, which is a monitor setting rather than a measurement of the patient. An answer here would be the service coding a string MIMIC does not stand behind.",,,,,,not-searchable,,,,,,,,,,,,
220047,Heart Rate Alarm - Low,,,,"Not sent to code-search: every item is a `<X> Alarm - {High | Low}` device alarm limit, which is a monitor setting rather than a measurement of the patient. An answer here would be the service coding a string MIMIC does not stand behind.",,,,,,not-searchable,,,,,,,,,,,,
220048,Heart Rhythm,http://loinc.org,8884-9,Heart rate rhythm,,Heart Rhythm,,8884-9,Heart rate rhythm,0.90,ok,FSN captures heart rhythm meaning,ok,8884-9,Heart rate rhythm,0.90,,,,,NomOrd,Nom,
220050,Arterial Blood Pressure systolic,http://loinc.org,8480-6,Systolic blood pressure,,Arterial Blood Pressure systolic,,8480-6,Systolic blood pressure,0.95,ok,FSN matches arterial systolic BP exactly,ok,8480-6,Systolic blood pressure,0.95,,,,,Qn,Qn,
220051,Arterial Blood Pressure diastolic,http://loinc.org,8462-4,Diastolic blood pressure,,Arterial Blood Pressure diastolic,,8462-4,Diastolic blood pressure,0.95,ok,FSN matches arterial diastolic BP exactly,ok,8462-4,Diastolic blood pressure,0.95,,,,,Qn,Qn,
220052,Arterial Blood Pressure mean,http://loinc.org,8478-0,Mean blood pressure,,Arterial Blood Pressure mean,,8478-0,Mean blood pressure,0.95,ok,FSN matches arterial mean blood pressure exactly,ok,8478-0,Mean blood pressure,0.95,,,,,Qn,Qn,
220056,Arterial Blood Pressure Alarm - Low,,,,"Not sent to code-search: every item is a `<X> Alarm - {High | Low}` device alarm limit, which is a monitor setting rather than a measurement of the patient. An answer here would be the service coding a string MIMIC does not stand behind.",,,,,,not-searchable,,,,,,,,,,,,
220058,Arterial Blood Pressure Alarm - High,,,,"Not sent to code-search: every item is a `<X> Alarm - {High | Low}` device alarm limit, which is a monitor setting rather than a measurement of the patient. An answer here would be the service coding a string MIMIC does not stand behind.",,,,,,not-searchable,,,,,,,,,,,,
